split_level,outer_fold,inner_fold,role,row_index,query_id,group_id,truth,label,intent
outer,0,,train,37,q_00232,g0037,0,irrelevant,Spam
outer,0,,train,38,q_00781,g0038,1,relevant,Medical
outer,0,,train,39,q_00820,g0039,1,relevant,Medical
outer,0,,train,40,q_00525,g0040,1,relevant,Medical
outer,0,,train,41,q_01642,g0041,0,irrelevant,OSS
outer,0,,train,42,q_01724,g0042,1,relevant,Delivery confirmation
outer,0,,train,43,q_00929,g0043,1,relevant,Medical
outer,0,,train,44,q_00174,g0044,0,irrelevant,Acknowledgment
outer,0,,train,45,q_00006,g0045,0,irrelevant,Greeting
outer,0,,train,48,q_01745,g0048,1,relevant,Delivery confirmation
outer,0,,train,49,q_00455,g0049,1,relevant,Medical
outer,0,,train,51,q_00297,g0051,1,relevant,Language change
outer,0,,train,52,q_01342,g0052,0,irrelevant,Acknowledgment
outer,0,,train,53,q_00667,g0053,1,relevant,Medical
outer,0,,train,54,q_00950,g0054,1,relevant,Medical
outer,0,,train,55,q_00652,g0055,1,relevant,Medical
outer,0,,train,57,q_01163,g0057,1,relevant,Feedback
outer,0,,train,58,q_00934,g0058,1,relevant,Medical
outer,0,,train,61,q_00931,g0061,1,relevant,Medical
outer,0,,train,63,q_01540,g0063,1,relevant,Feedback
outer,0,,train,64,q_01130,g0064,0,irrelevant,Acknowledgment
outer,0,,train,65,q_00981,g0065,0,irrelevant,Automated message
outer,0,,train,67,q_00518,g0067,1,relevant,Medical
outer,0,,train,68,q_01270,g0068,0,irrelevant,Acknowledgment
outer,0,,train,69,q_00668,g0069,1,relevant,Medical
outer,0,,train,70,q_01266,g0070,1,relevant,Other
outer,0,,train,71,q_00602,g0071,1,relevant,Other
outer,0,,train,73,q_00721,g0073,1,relevant,Medical
outer,0,,train,76,q_00873,g0076,1,relevant,Medical
outer,0,,train,77,q_00847,g0077,1,relevant,Medical
outer,0,,train,78,q_00964,g0078,1,relevant,Medical
outer,0,,train,79,q_01111,g0079,1,relevant,Other
outer,0,,train,81,q_00481,g0081,1,relevant,Medical
outer,0,,train,83,q_00978,g0083,0,irrelevant,Automated message
outer,0,,train,85,q_00866,g0085,1,relevant,Medical
outer,0,,train,86,q_00637,g0086,1,relevant,Medical
outer,0,,train,87,q_01271,g0087,0,irrelevant,Acknowledgment
outer,0,,train,88,q_01476,g0088,1,relevant,Feedback
outer,0,,train,91,q_00199,g0091,1,relevant,Other
outer,0,,train,92,q_00479,g0092,1,relevant,Medical
outer,0,,train,95,q_01403,g0095,0,irrelevant,Acknowledgment
outer,0,,train,97,q_01584,g0097,0,irrelevant,OSS
outer,0,,train,99,q_01657,g0099,0,irrelevant,OSS
outer,0,,train,101,q_00434,g0101,1,relevant,Medical
outer,0,,train,102,q_00236,g0102,1,relevant,Language change
outer,0,,train,103,q_00382,g0103,1,relevant,Medical
outer,0,,train,105,q_01373,g0105,1,relevant,Feedback
outer,0,,train,106,q_00359,g0106,1,relevant,Medical
outer,0,,train,107,q_01801,g0107,1,relevant,Date
outer,0,,train,108,q_01776,g0108,1,relevant,Delivery confirmation
outer,0,,train,109,q_01198,g0109,0,irrelevant,Acknowledgment
outer,0,,train,110,q_01315,g0110,1,relevant,Feedback
outer,0,,train,112,q_01453,g0112,0,irrelevant,Acknowledgment
outer,0,,train,113,q_00195,g0113,0,irrelevant,Acknowledgment
outer,0,,train,114,q_01092,g0114,1,relevant,Other
outer,0,,train,116,q_01705,g0116,1,relevant,Language change
outer,0,,train,117,q_01655,g0117,0,irrelevant,OSS
outer,0,,train,118,q_00685,g0118,1,relevant,Medical
outer,0,,train,119,q_00990,g0119,0,irrelevant,Automated message
outer,0,,train,121,q_01695,g0121,1,relevant,Language change
outer,0,,train,122,q_01098,g0122,1,relevant,Other
outer,0,,train,123,q_00942,g0123,1,relevant,Medical
outer,0,,train,124,q_00793,g0124,1,relevant,Medical
outer,0,,train,125,q_00435,g0125,1,relevant,Medical
outer,0,,train,129,q_01338,g0129,0,irrelevant,Acknowledgment
outer,0,,train,130,q_00855,g0130,1,relevant,Medical
outer,0,,train,132,q_00547,g0132,1,relevant,Medical
outer,0,,train,134,q_01615,g0134,0,irrelevant,OSS
outer,0,,train,136,q_01551,g0136,0,irrelevant,OSS
outer,0,,train,138,q_01796,g0138,1,relevant,Date
outer,0,,train,139,q_01286,g0139,0,irrelevant,Acknowledgment
outer,0,,train,140,q_00464,g0140,1,relevant,Medical
outer,0,,train,141,q_00148,g0141,0,irrelevant,Acknowledgment
outer,0,,train,142,q_01278,g0142,0,irrelevant,Acknowledgment
outer,0,,train,143,q_00510,g0143,1,relevant,Medical
outer,0,,train,144,q_01332,g0144,0,irrelevant,Acknowledgment
outer,0,,train,145,q_00229,g0145,0,irrelevant,Spam
outer,0,,train,147,q_01380,g0147,0,irrelevant,Acknowledgment
outer,0,,train,148,q_01040,g0148,1,relevant,Medical
outer,0,,train,149,q_01479,g0149,0,irrelevant,Acknowledgment
outer,0,,train,151,q_00014,g0151,0,irrelevant,Greeting
outer,0,,train,153,q_00135,g0153,0,irrelevant,Acknowledgment
outer,0,,train,154,q_01699,g0154,1,relevant,Language change
outer,0,,train,155,q_01689,g0155,1,relevant,Language change
outer,0,,train,157,q_01567,g0157,0,irrelevant,OSS
outer,0,,train,158,q_01712,g0158,1,relevant,Language change
outer,0,,train,159,q_00180,g0159,0,irrelevant,Acknowledgment
outer,0,,train,160,q_00757,g0160,1,relevant,Medical
outer,0,,train,161,q_00758,g0161,1,relevant,Medical
outer,0,,train,162,q_00339,g0162,1,relevant,Medical
outer,0,,train,164,q_01164,g0164,0,irrelevant,Acknowledgment
outer,0,,train,165,q_00535,g0165,1,relevant,Medical
outer,0,,train,166,q_01205,g0166,0,irrelevant,Acknowledgment
outer,0,,train,167,q_00663,g0167,1,relevant,Medical
outer,0,,train,168,q_00807,g0168,1,relevant,Medical
outer,0,,train,169,q_00595,g0169,1,relevant,Medical
outer,0,,train,170,q_01049,g0170,0,irrelevant,Spam
outer,0,,train,171,q_01637,g0171,0,irrelevant,OSS
outer,0,,train,172,q_01610,g0172,0,irrelevant,OSS
outer,0,,train,174,q_00813,g0174,1,relevant,Medical
outer,0,,train,176,q_00856,g0176,1,relevant,Medical
outer,0,,train,177,q_01502,g0177,0,irrelevant,Acknowledgment
outer,0,,train,178,q_00441,g0178,1,relevant,Medical
outer,0,,train,179,q_00117,g0179,1,relevant,Other
outer,0,,train,180,q_01413,g0180,0,irrelevant,Acknowledgment
outer,0,,train,181,q_00190,g0181,0,irrelevant,Acknowledgment
outer,0,,train,182,q_01301,g0182,0,irrelevant,Acknowledgment
outer,0,,train,185,q_00360,g0185,1,relevant,Medical
outer,0,,train,186,q_00277,g0186,1,relevant,Language change
outer,0,,train,187,q_01079,g0187,1,relevant,Medical
outer,0,,train,188,q_00700,g0188,1,relevant,Medical
outer,0,,train,189,q_01546,g0189,0,irrelevant,OSS
outer,0,,train,190,q_00958,g0190,1,relevant,Medical
outer,0,,train,191,q_00600,g0191,1,relevant,Medical
outer,0,,train,192,q_01805,g0192,1,relevant,Date
outer,0,,train,193,q_01778,g0193,1,relevant,Delivery confirmation
outer,0,,train,194,q_01336,g0194,0,irrelevant,Acknowledgment
outer,0,,train,195,q_01104,g0195,1,relevant,Other
outer,0,,train,196,q_01543,g0196,0,irrelevant,OSS
outer,0,,train,197,q_00319,g0197,1,relevant,Language change
outer,0,,train,198,q_01082,g0198,1,relevant,Medical
outer,0,,train,199,q_00784,g0199,1,relevant,Medical
outer,0,,train,200,q_01099,g0200,1,relevant,Other
outer,0,,train,202,q_01365,g0202,0,irrelevant,Acknowledgment
outer,0,,train,203,q_01027,g0203,1,relevant,Medical
outer,0,,train,204,q_00962,g0204,1,relevant,Medical
outer,0,,train,205,q_00782,g0205,1,relevant,Medical
outer,0,,train,206,q_00754,g0206,1,relevant,Medical
outer,0,,train,207,q_01703,g0207,1,relevant,Language change
outer,0,,train,209,q_00851,g0209,1,relevant,Medical
outer,0,,train,210,q_01052,g0210,1,relevant,Other
outer,0,,train,211,q_01334,g0211,0,irrelevant,Acknowledgment
outer,0,,train,212,q_00272,g0212,1,relevant,Language change
outer,0,,train,214,q_00574,g0214,1,relevant,Medical
outer,0,,train,216,q_01010,g0216,1,relevant,Date
outer,0,,train,217,q_00264,g0217,1,relevant,Language change
outer,0,,train,218,q_01714,g0218,1,relevant,Delivery confirmation
outer,0,,train,219,q_00932,g0219,1,relevant,Medical
outer,0,,train,222,q_01481,g0222,1,relevant,Feedback
outer,0,,train,224,q_01030,g0224,1,relevant,Date
outer,0,,train,225,q_00534,g0225,1,relevant,Medical
outer,0,,train,226,q_00080,g0226,0,irrelevant,Greeting
outer,0,,train,227,q_01547,g0227,0,irrelevant,OSS
outer,0,,train,229,q_00722,g0229,1,relevant,Medical
outer,0,,train,230,q_01730,g0230,1,relevant,Delivery confirmation
outer,0,,train,231,q_01435,g0231,1,relevant,Feedback
outer,0,,train,232,q_00626,g0232,1,relevant,Medical
outer,0,,train,233,q_01685,g0233,1,relevant,Language change
outer,0,,train,234,q_01764,g0234,1,relevant,Delivery confirmation
outer,0,,train,235,q_01441,g0235,0,irrelevant,Acknowledgment
outer,0,,train,236,q_00036,g0236,0,irrelevant,Greeting
outer,0,,train,237,q_00450,g0237,1,relevant,Medical
outer,0,,train,238,q_01660,g0238,0,irrelevant,OSS
outer,0,,train,239,q_01107,g0239,1,relevant,Other
outer,0,,train,240,q_00680,g0240,1,relevant,Medical
outer,0,,train,241,q_01186,g0241,0,irrelevant,Acknowledgment
outer,0,,train,243,q_00947,g0243,1,relevant,Medical
outer,0,,train,245,q_01400,g0245,0,irrelevant,Acknowledgment
outer,0,,train,246,q_00606,g0246,1,relevant,Medical
outer,0,,train,247,q_01133,g0247,0,irrelevant,Acknowledgment
outer,0,,train,248,q_01161,g0248,1,relevant,Delivery confirmation
outer,0,,train,249,q_01499,g0249,1,relevant,Feedback
outer,0,,train,251,q_00599,g0251,1,relevant,Medical
outer,0,,train,252,q_00529,g0252,1,relevant,Medical
outer,0,,train,253,q_00567,g0253,1,relevant,Medical
outer,0,,train,254,q_00426,g0254,1,relevant,Medical
outer,0,,train,255,q_00543,g0255,1,relevant,Medical
outer,0,,train,256,q_00067,g0256,0,irrelevant,Greeting
outer,0,,train,257,q_01097,g0257,1,relevant,Other
outer,0,,train,258,q_00388,g0258,1,relevant,Medical
outer,0,,train,260,q_00087,g0260,0,irrelevant,Greeting
outer,0,,train,263,q_01214,g0263,1,relevant,Feedback
outer,0,,train,264,q_01247,g0264,0,irrelevant,Acknowledgment
outer,0,,train,265,q_00532,g0265,1,relevant,Medical
outer,0,,train,266,q_00568,g0266,1,relevant,Medical
outer,0,,train,267,q_01067,g0267,1,relevant,Other
outer,0,,train,268,q_01290,g0268,0,irrelevant,Acknowledgment
outer,0,,train,269,q_00114,g0269,1,relevant,Other
outer,0,,train,270,q_00105,g0270,1,relevant,Other
outer,0,,train,271,q_00675,g0271,1,relevant,Medical
outer,0,,train,272,q_00634,g0272,1,relevant,Medical
outer,0,,train,273,q_00572,g0273,1,relevant,Medical
outer,0,,train,275,q_00159,g0275,0,irrelevant,Acknowledgment
outer,0,,train,276,q_01486,g0276,1,relevant,Feedback
outer,0,,train,277,q_01748,g0277,1,relevant,Delivery confirmation
outer,0,,train,278,q_01527,g0278,1,relevant,Delivery confirmation
outer,0,,train,280,q_00452,g0280,1,relevant,Medical
outer,0,,train,281,q_01550,g0281,1,relevant,Other
outer,0,,train,282,q_01662,g0282,0,irrelevant,OSS
outer,0,,train,284,q_01350,g0284,1,relevant,Feedback
outer,0,,train,285,q_01176,g0285,0,irrelevant,Acknowledgment
outer,0,,train,286,q_01558,g0286,0,irrelevant,OSS
outer,0,,train,287,q_01682,g0287,1,relevant,Language change
outer,0,,train,290,q_00134,g0290,0,irrelevant,Acknowledgment
outer,0,,train,291,q_01690,g0291,1,relevant,Language change
outer,0,,train,292,q_00371,g0292,1,relevant,Medical
outer,0,,train,293,q_01084,g0293,1,relevant,Other
outer,0,,train,295,q_00835,g0295,1,relevant,Medical
outer,0,,train,296,q_01359,g0296,0,irrelevant,Acknowledgment
outer,0,,train,297,q_01251,g0297,0,irrelevant,Acknowledgment
outer,0,,train,300,q_00003,g0300,0,irrelevant,Greeting
outer,0,,train,301,q_01238,g0301,0,irrelevant,Acknowledgment
outer,0,,train,302,q_01602,g0302,1,relevant,Other
outer,0,,train,303,q_00956,g0303,1,relevant,Medical
outer,0,,train,304,q_01490,g0304,0,irrelevant,Acknowledgment
outer,0,,train,305,q_00095,g0305,0,irrelevant,Acknowledgment
outer,0,,train,307,q_01727,g0307,1,relevant,Delivery confirmation
outer,0,,train,309,q_00057,g0309,0,irrelevant,Greeting
outer,0,,train,310,q_00539,g0310,1,relevant,Medical
outer,0,,train,313,q_00449,g0313,1,relevant,Medical
outer,0,,train,314,q_01458,g0314,0,irrelevant,Acknowledgment
outer,0,,train,316,q_00725,g0316,1,relevant,Medical
outer,0,,train,317,q_00789,g0317,1,relevant,Medical
outer,0,,train,318,q_01694,g0318,1,relevant,Language change
outer,0,,train,319,q_00052,g0319,0,irrelevant,Greeting
outer,0,,train,320,q_01366,g0320,0,irrelevant,Acknowledgment
outer,0,,train,321,q_00223,g0321,0,irrelevant,Spam
outer,0,,train,322,q_00240,g0322,1,relevant,Language change
outer,0,,train,323,q_00991,g0323,0,irrelevant,Automated message
outer,0,,train,324,q_01462,g0324,1,relevant,Feedback
outer,0,,train,325,q_00684,g0325,1,relevant,Medical
outer,0,,train,326,q_00977,g0326,0,irrelevant,Automated message
outer,0,,train,327,q_00791,g0327,1,relevant,Medical
outer,0,,train,328,q_00269,g0328,1,relevant,Language change
outer,0,,train,331,q_00101,g0331,1,relevant,Other
outer,0,,train,332,q_00923,g0332,1,relevant,Medical
outer,0,,train,333,q_01093,g0333,1,relevant,Other
outer,0,,train,334,q_01178,g0334,0,irrelevant,Acknowledgment
outer,0,,train,336,q_01721,g0336,1,relevant,Delivery confirmation
outer,0,,train,337,q_01211,g0337,0,irrelevant,Acknowledgment
outer,0,,train,338,q_01415,g0338,1,relevant,Feedback
outer,0,,train,339,q_01799,g0339,1,relevant,Date
outer,0,,train,340,q_01237,g0340,0,irrelevant,Acknowledgment
outer,0,,train,342,q_00511,g0342,1,relevant,Medical
outer,0,,train,343,q_00295,g0343,1,relevant,Language change
outer,0,,train,346,q_00296,g0346,1,relevant,Language change
outer,0,,train,347,q_01033,g0347,1,relevant,Date
outer,0,,train,348,q_01022,g0348,1,relevant,Date
outer,0,,train,349,q_01004,g0349,0,irrelevant,Automated message
outer,0,,train,350,q_00608,g0350,1,relevant,Medical
outer,0,,train,351,q_00644,g0351,1,relevant,Medical
outer,0,,train,352,q_00429,g0352,1,relevant,Medical
outer,0,,train,353,q_00261,g0353,1,relevant,Language change
outer,0,,train,354,q_00579,g0354,1,relevant,Medical
outer,0,,train,355,q_00322,g0355,1,relevant,Language change
outer,0,,train,356,q_00631,g0356,1,relevant,Medical
outer,0,,train,357,q_00502,g0357,1,relevant,Medical
outer,0,,train,358,q_00305,g0358,1,relevant,Language change
outer,0,,train,360,q_01669,g0360,1,relevant,Language change
outer,0,,train,361,q_00861,g0361,1,relevant,Medical
outer,0,,train,362,q_00908,g0362,1,relevant,Medical
outer,0,,train,363,q_00084,g0363,0,irrelevant,Greeting
outer,0,,train,365,q_00287,g0365,1,relevant,Language change
outer,0,,train,366,q_01561,g0366,0,irrelevant,OSS
outer,0,,train,369,q_00200,g0369,0,irrelevant,Acknowledgment
outer,0,,train,370,q_01591,g0370,0,irrelevant,OSS
outer,0,,train,371,q_01014,g0371,1,relevant,Date
outer,0,,train,372,q_01015,g0372,1,relevant,Date
outer,0,,train,373,q_01750,g0373,1,relevant,Delivery confirmation
outer,0,,train,374,q_00852,g0374,1,relevant,Medical
outer,0,,train,375,q_00290,g0375,1,relevant,Language change
outer,0,,train,376,q_01215,g0376,0,irrelevant,Acknowledgment
outer,0,,train,378,q_01794,g0378,1,relevant,Date
outer,0,,train,379,q_00217,g0379,0,irrelevant,Spam
outer,0,,train,381,q_00489,g0381,1,relevant,Medical
outer,0,,train,382,q_00922,g0382,1,relevant,Medical
outer,0,,train,383,q_01466,g0383,1,relevant,Medical
outer,0,,train,384,q_01121,g0384,0,irrelevant,Acknowledgment
outer,0,,train,385,q_01683,g0385,1,relevant,Language change
outer,0,,train,387,q_01746,g0387,1,relevant,Delivery confirmation
outer,0,,train,390,q_01009,g0390,1,relevant,Date
outer,0,,train,391,q_01181,g0391,0,irrelevant,Acknowledgment
outer,0,,train,392,q_01424,g0392,0,irrelevant,Acknowledgment
outer,0,,train,393,q_01367,g0393,0,irrelevant,Acknowledgment
outer,0,,train,394,q_01287,g0394,1,relevant,Feedback
outer,0,,train,395,q_01508,g0395,0,irrelevant,Acknowledgment
outer,0,,train,396,q_00122,g0396,0,irrelevant,Acknowledgment
outer,0,,train,397,q_01438,g0397,0,irrelevant,Acknowledgment
outer,0,,train,398,q_01434,g0398,0,irrelevant,Acknowledgment
outer,0,,train,400,q_00490,g0400,1,relevant,Medical
outer,0,,train,402,q_00077,g0402,0,irrelevant,Greeting
outer,0,,train,405,q_01691,g0405,1,relevant,Language change
outer,0,,train,406,q_00741,g0406,1,relevant,Medical
outer,0,,train,407,q_00695,g0407,1,relevant,Medical
outer,0,,train,408,q_01573,g0408,0,irrelevant,OSS
outer,0,,train,409,q_00224,g0409,0,irrelevant,Spam
outer,0,,train,411,q_00373,g0411,1,relevant,Medical
outer,0,,train,412,q_01729,g0412,1,relevant,Delivery confirmation
outer,0,,train,413,q_00253,g0413,1,relevant,Language change
outer,0,,train,414,q_00794,g0414,1,relevant,Medical
outer,0,,train,415,q_00662,g0415,1,relevant,Medical
outer,0,,train,416,q_00699,g0416,1,relevant,Medical
outer,0,,train,417,q_01020,g0417,1,relevant,Date
outer,0,,train,418,q_01341,g0418,0,irrelevant,Acknowledgment
outer,0,,train,420,q_00913,g0420,1,relevant,Medical
outer,0,,train,421,q_01268,g0421,0,irrelevant,Acknowledgment
outer,0,,train,422,q_01088,g0422,1,relevant,Medical
outer,0,,train,423,q_01469,g0423,0,irrelevant,Acknowledgment
outer,0,,train,425,q_01487,g0425,0,irrelevant,Acknowledgment
outer,0,,train,426,q_00904,g0426,1,relevant,Medical
outer,0,,train,427,q_00926,g0427,1,relevant,Medical
outer,0,,train,428,q_00780,g0428,1,relevant,Medical
outer,0,,train,429,q_01698,g0429,1,relevant,Language change
outer,0,,train,430,q_00113,g0430,0,irrelevant,Greeting
outer,0,,train,431,q_01347,g0431,0,irrelevant,Acknowledgment
outer,0,,train,433,q_01183,g0433,0,irrelevant,Acknowledgment
outer,0,,train,434,q_00798,g0434,1,relevant,Medical
outer,0,,train,436,q_01154,g0436,0,irrelevant,Acknowledgment
outer,0,,train,437,q_01500,g0437,0,irrelevant,Acknowledgment
outer,0,,train,438,q_01201,g0438,0,irrelevant,Acknowledgment
outer,0,,train,439,q_00666,g0439,1,relevant,Medical
outer,0,,train,440,q_01411,g0440,1,relevant,Feedback
outer,0,,train,442,q_00387,g0442,1,relevant,Medical
outer,0,,train,443,q_00406,g0443,1,relevant,Medical
outer,0,,train,444,q_00385,g0444,1,relevant,Medical
outer,0,,train,445,q_00347,g0445,1,relevant,Medical
outer,0,,train,447,q_00571,g0447,1,relevant,Medical
outer,0,,train,448,q_01241,g0448,0,irrelevant,Acknowledgment
outer,0,,train,450,q_00815,g0450,1,relevant,Medical
outer,0,,train,451,q_00141,g0451,0,irrelevant,Acknowledgment
outer,0,,train,452,q_01210,g0452,0,irrelevant,Acknowledgment
outer,0,,train,453,q_00660,g0453,1,relevant,Medical
outer,0,,train,455,q_00379,g0455,1,relevant,Medical
outer,0,,train,456,q_00316,g0456,1,relevant,Language change
outer,0,,train,457,q_00325,g0457,1,relevant,Language change
outer,0,,train,458,q_00370,g0458,1,relevant,Medical
outer,0,,train,460,q_01566,g0460,0,irrelevant,OSS
outer,0,,train,461,q_01624,g0461,0,irrelevant,OSS
outer,0,,train,462,q_00451,g0462,1,relevant,Medical
outer,0,,train,464,q_00943,g0464,1,relevant,Medical
outer,0,,train,466,q_00094,g0466,0,irrelevant,Greeting
outer,0,,train,467,q_01141,g0467,1,relevant,Medical
outer,0,,train,468,q_00171,g0468,0,irrelevant,Acknowledgment
outer,0,,train,469,q_00509,g0469,1,relevant,Medical
outer,0,,train,470,q_01713,g0470,1,relevant,Delivery confirmation
outer,0,,train,471,q_01774,g0471,1,relevant,Delivery confirmation
outer,0,,train,472,q_00086,g0472,0,irrelevant,Greeting
outer,0,,train,473,q_00846,g0473,1,relevant,Medical
outer,0,,train,474,q_01621,g0474,0,irrelevant,OSS
outer,0,,train,476,q_00906,g0476,1,relevant,Medical
outer,0,,train,477,q_01582,g0477,0,irrelevant,OSS
outer,0,,train,478,q_00356,g0478,1,relevant,Medical
outer,0,,train,479,q_01722,g0479,1,relevant,Delivery confirmation
outer,0,,train,480,q_01668,g0480,1,relevant,Other
outer,0,,train,482,q_00742,g0482,1,relevant,Medical
outer,0,,train,484,q_00266,g0484,1,relevant,Language change
outer,0,,train,485,q_00204,g0485,0,irrelevant,Acknowledgment
outer,0,,train,486,q_00366,g0486,1,relevant,Medical
outer,0,,train,487,q_01296,g0487,0,irrelevant,Acknowledgment
outer,0,,train,488,q_00247,g0488,1,relevant,Language change
outer,0,,train,489,q_00391,g0489,1,relevant,Medical
outer,0,,train,490,q_01042,g0490,0,irrelevant,Spam
outer,0,,train,491,q_00945,g0491,1,relevant,Medical
outer,0,,train,492,q_01620,g0492,0,irrelevant,OSS
outer,0,,train,493,q_00383,g0493,1,relevant,Medical
outer,0,,train,494,q_00533,g0494,1,relevant,Medical
outer,0,,train,496,q_00268,g0496,1,relevant,Language change
outer,0,,train,497,q_00825,g0497,1,relevant,Medical
outer,0,,train,498,q_00291,g0498,1,relevant,Language change
outer,0,,train,499,q_00814,g0499,1,relevant,Medical
outer,0,,train,500,q_01265,g0500,1,relevant,Feedback
outer,0,,train,501,q_01146,g0501,1,relevant,Feedback
outer,0,,train,502,q_01766,g0502,1,relevant,Delivery confirmation
outer,0,,train,503,q_01491,g0503,0,irrelevant,Greeting
outer,0,,train,505,q_00071,g0505,0,irrelevant,Greeting
outer,0,,train,506,q_01106,g0506,0,irrelevant,OSS
outer,0,,train,507,q_01117,g0507,0,irrelevant,Acknowledgment
outer,0,,train,508,q_01619,g0508,0,irrelevant,OSS
outer,0,,train,509,q_01318,g0509,0,irrelevant,Acknowledgment
outer,0,,train,510,q_00591,g0510,1,relevant,Medical
outer,0,,train,511,q_01188,g0511,0,irrelevant,Acknowledgment
outer,0,,train,512,q_01560,g0512,0,irrelevant,OSS
outer,0,,train,514,q_01437,g0514,0,irrelevant,Acknowledgment
outer,0,,train,515,q_00966,g0515,0,irrelevant,Automated message
outer,0,,train,516,q_00902,g0516,1,relevant,Medical
outer,0,,train,518,q_01193,g0518,0,irrelevant,Acknowledgment
outer,0,,train,519,q_01402,g0519,0,irrelevant,Acknowledgment
outer,0,,train,520,q_00538,g0520,1,relevant,Medical
outer,0,,train,521,q_00639,g0521,1,relevant,Medical
outer,0,,train,522,q_00896,g0522,1,relevant,Medical
outer,0,,train,523,q_00243,g0523,1,relevant,Language change
outer,0,,train,524,q_01005,g0524,0,irrelevant,Automated message
outer,0,,train,525,q_00701,g0525,1,relevant,Medical
outer,0,,train,526,q_00995,g0526,0,irrelevant,Automated message
outer,0,,train,529,q_00672,g0529,1,relevant,Medical
outer,0,,train,530,q_01077,g0530,1,relevant,Other
outer,0,,train,531,q_00792,g0531,1,relevant,Medical
outer,0,,train,532,q_00768,g0532,1,relevant,Medical
outer,0,,train,533,q_01085,g0533,1,relevant,Medical
outer,0,,train,534,q_01202,g0534,0,irrelevant,Acknowledgment
outer,0,,train,536,q_00743,g0536,1,relevant,Medical
outer,0,,train,537,q_00857,g0537,1,relevant,Medical
outer,0,,train,538,q_00007,g0538,1,relevant,Other
outer,0,,train,539,q_01585,g0539,0,irrelevant,OSS
outer,0,,train,541,q_01165,g0541,1,relevant,Feedback
outer,0,,train,542,q_00257,g0542,1,relevant,Language change
outer,0,,train,543,q_00702,g0543,1,relevant,Medical
outer,0,,train,544,q_00996,g0544,0,irrelevant,Automated message
outer,0,,train,545,q_00386,g0545,1,relevant,Medical
outer,0,,train,546,q_01492,g0546,1,relevant,Feedback
outer,0,,train,548,q_00274,g0548,1,relevant,Language change
outer,0,,train,549,q_00251,g0549,1,relevant,Language change
outer,0,,train,550,q_01509,g0550,1,relevant,Feedback
outer,0,,train,551,q_00711,g0551,1,relevant,Medical
outer,0,,train,552,q_00346,g0552,1,relevant,Medical
outer,0,,train,555,q_01740,g0555,1,relevant,Delivery confirmation
outer,0,,train,556,q_01531,g0556,0,irrelevant,Acknowledgment
outer,0,,train,557,q_01382,g0557,0,irrelevant,Acknowledgment
outer,0,,train,558,q_00968,g0558,0,irrelevant,Automated message
outer,0,,train,560,q_00173,g0560,0,irrelevant,Acknowledgment
outer,0,,train,561,q_00870,g0561,1,relevant,Medical
outer,0,,train,562,q_00605,g0562,1,relevant,Medical
outer,0,,train,563,q_00144,g0563,1,relevant,Other
outer,0,,train,564,q_01659,g0564,1,relevant,Other
outer,0,,train,565,q_00066,g0565,0,irrelevant,Greeting
outer,0,,train,566,q_00527,g0566,1,relevant,Medical
outer,0,,train,567,q_00363,g0567,1,relevant,Medical
outer,0,,train,569,q_00409,g0569,1,relevant,Medical
