query_id,intent,label,space,nearest_distance,label_agreement_k15
q_00115,Acknowledgment,irrelevant,A,0.015894055,0.8
q_01796,Date,relevant,A,0.16105771,1.0
q_01286,Acknowledgment,irrelevant,A,0.08387023,1.0
q_00464,Medical,relevant,A,0.28938997,0.9333333333333333
q_00148,Acknowledgment,irrelevant,A,0.15841615,1.0
q_01278,Acknowledgment,irrelevant,A,0.23913348,0.8666666666666667
q_00510,Medical,relevant,A,0.25309205,0.9333333333333333
q_01332,Acknowledgment,irrelevant,A,0.37123275,0.13333333333333333
q_00229,Spam,irrelevant,A,0.5056605,0.5333333333333333
q_00462,Medical,relevant,A,0.15576369,0.8666666666666667
q_01380,Acknowledgment,irrelevant,A,0.4816814,0.5333333333333333
q_01040,Medical,relevant,A,0.33920574,1.0
q_01479,Acknowledgment,irrelevant,A,0.12499702,1.0
q_00075,Greeting,irrelevant,A,0.05476916,0.6666666666666666
q_00014,Greeting,irrelevant,A,0.086836934,0.8666666666666667
q_01598,OSS,irrelevant,A,0.13626981,0.06666666666666667
q_00135,Acknowledgment,irrelevant,A,0.21733081,0.4666666666666667
q_01699,Language change,relevant,A,0.07719064,0.8
q_01689,Language change,relevant,A,0.120321035,0.7333333333333333
q_01590,OSS,irrelevant,A,0.2564512,0.2
q_01567,OSS,irrelevant,A,0.04316616,1.0
q_01712,Language change,relevant,A,0.25544602,0.7333333333333333
q_00180,Acknowledgment,irrelevant,A,0.16479188,1.0
q_00757,Medical,relevant,A,0.40195143,1.0
q_00758,Medical,relevant,A,0.3558792,0.9333333333333333
q_00339,Medical,relevant,A,0.24261379,0.8666666666666667
q_00842,Medical,relevant,A,0.118597984,0.9333333333333333
q_01164,Acknowledgment,irrelevant,A,0.14550275,1.0
q_00535,Medical,relevant,A,0.022235751,0.9333333333333333
q_01205,Acknowledgment,irrelevant,A,0.059048057,0.8
q_00663,Medical,relevant,A,0.33875084,0.8
q_00807,Medical,relevant,A,0.20953739,1.0
q_00595,Medical,relevant,A,0.14882451,0.7333333333333333
q_01049,Spam,irrelevant,A,0.53160787,0.0
q_01637,OSS,irrelevant,A,0.22833121,0.2
q_01610,OSS,irrelevant,A,0.38112605,0.5333333333333333
q_00786,Medical,relevant,A,0.29356652,1.0
q_00813,Medical,relevant,A,0.5491812,0.7333333333333333
q_01595,OSS,irrelevant,A,0.45608622,0.6666666666666666
q_00856,Medical,relevant,A,0.2744618,0.26666666666666666
q_01502,Acknowledgment,irrelevant,A,0.06709278,0.6
q_00441,Medical,relevant,A,0.40773225,0.8
q_00117,Other,relevant,A,0.026324093,0.13333333333333333
q_01413,Acknowledgment,irrelevant,A,0.034267128,0.8666666666666667
q_00190,Acknowledgment,irrelevant,A,0.2342999,0.9333333333333333
q_01301,Acknowledgment,irrelevant,A,0.19528085,0.9333333333333333
q_00576,Medical,relevant,A,0.16540158,1.0
q_00201,Other,relevant,A,0.34159344,0.26666666666666666
q_00360,Medical,relevant,A,0.32136595,1.0
q_00277,Language change,relevant,A,0.15599728,1.0
q_01079,Medical,relevant,A,0.24544948,0.7333333333333333
q_00700,Medical,relevant,A,0.32181406,1.0
q_01546,OSS,irrelevant,A,0.19154596,0.8666666666666667
q_00958,Medical,relevant,A,0.20146453,0.9333333333333333
q_00600,Medical,relevant,A,0.45841932,0.9333333333333333
q_01805,Date,relevant,A,0.047593713,1.0
q_01778,Delivery confirmation,relevant,A,0.14975214,0.6666666666666666
q_01336,Acknowledgment,irrelevant,A,0.0067698956,0.6
q_01104,Other,relevant,A,0.3939194,0.5333333333333333
q_01543,OSS,irrelevant,A,0.2585891,0.7333333333333333
q_00319,Language change,relevant,A,0.21225566,1.0
q_01082,Medical,relevant,A,0.22585064,0.6666666666666666
q_00784,Medical,relevant,A,0.3417567,1.0
q_01099,Other,relevant,A,0.030740857,0.5333333333333333
q_01503,Acknowledgment,irrelevant,A,0.018692434,0.9333333333333333
q_01365,Acknowledgment,irrelevant,A,0.10767901,0.8666666666666667
q_01027,Medical,relevant,A,0.17019749,0.9333333333333333
q_00962,Medical,relevant,A,0.0850175,0.8
q_00782,Medical,relevant,A,0.421286,1.0
q_00754,Medical,relevant,A,0.28268492,1.0
q_01703,Language change,relevant,A,0.07719064,0.9333333333333333
q_01249,Acknowledgment,irrelevant,A,0.09501135,0.9333333333333333
q_00851,Medical,relevant,A,0.3899638,0.7333333333333333
q_01052,Other,relevant,A,0.03507316,0.4666666666666667
q_01334,Acknowledgment,irrelevant,A,0.029498577,0.9333333333333333
q_00272,Language change,relevant,A,0.24698114,1.0
q_01225,Acknowledgment,irrelevant,A,0.17601228,0.9333333333333333
q_00574,Medical,relevant,A,0.13097525,0.8666666666666667
q_00588,Medical,relevant,A,0.36247754,0.9333333333333333
q_01010,Date,relevant,A,0.047593713,1.0
q_00264,Language change,relevant,A,0.16219449,0.7333333333333333
q_01714,Delivery confirmation,relevant,A,0.31497473,0.7333333333333333
q_00932,Medical,relevant,A,0.4626155,1.0
q_00235,Language change,relevant,A,0.033866763,0.4666666666666667
q_00983,Automated message,irrelevant,A,0.42800826,0.9333333333333333
q_01481,Feedback,relevant,A,0.17021108,0.6
q_00863,Medical,relevant,A,0.36171603,1.0
q_01030,Date,relevant,A,0.3105759,1.0
q_00534,Medical,relevant,A,0.06401813,0.5333333333333333
q_00080,Greeting,irrelevant,A,0.3043685,0.8
q_01547,OSS,irrelevant,A,0.31053424,0.8
q_00770,Medical,relevant,A,0.407879,1.0
q_00722,Medical,relevant,A,0.22993231,1.0
q_01730,Delivery confirmation,relevant,A,0.32612413,1.0
q_01435,Feedback,relevant,A,0.18242466,0.0
q_00626,Medical,relevant,A,0.20878935,1.0
q_01685,Language change,relevant,A,0.036533594,1.0
q_01764,Delivery confirmation,relevant,A,0.10390037,1.0
q_01441,Acknowledgment,irrelevant,A,0.22691238,1.0
q_00036,Greeting,irrelevant,A,0.17007542,0.9333333333333333
q_00450,Medical,relevant,A,0.13440168,0.8666666666666667
q_01660,OSS,irrelevant,A,0.2868349,0.13333333333333333
q_01107,Other,relevant,A,0.09268558,0.5333333333333333
q_00680,Medical,relevant,A,0.29813176,1.0
q_01186,Acknowledgment,irrelevant,A,0.19971806,0.7333333333333333
q_00023,Greeting,irrelevant,A,0.13557827,0.9333333333333333
q_00947,Medical,relevant,A,0.35951763,0.6666666666666666
q_01605,OSS,irrelevant,A,0.48486668,0.2
q_01400,Acknowledgment,irrelevant,A,0.0067698956,0.7333333333333333
q_00606,Medical,relevant,A,0.05774504,0.7333333333333333
q_01133,Acknowledgment,irrelevant,A,0.12104392,0.8666666666666667
q_01161,Delivery confirmation,relevant,A,0.12769556,0.06666666666666667
q_01499,Feedback,relevant,A,0.023509026,0.4666666666666667
q_00011,Greeting,irrelevant,A,0.194727,0.3333333333333333
q_00599,Medical,relevant,A,0.051511645,0.7333333333333333
q_00529,Medical,relevant,A,0.028221846,0.4666666666666667
q_00567,Medical,relevant,A,0.23657787,0.7333333333333333
q_00426,Medical,relevant,A,0.2612388,0.8
q_00543,Medical,relevant,A,0.08867723,1.0
q_00067,Greeting,irrelevant,A,0.0630579,0.9333333333333333
q_01097,Other,relevant,A,0.2100352,0.8
q_00388,Medical,relevant,A,0.055503964,0.6
q_00334,Medical,relevant,A,0.18617445,0.9333333333333333
q_00087,Greeting,irrelevant,A,0.016166687,0.8666666666666667
q_01191,Acknowledgment,irrelevant,A,0.026032507,1.0
q_01419,Acknowledgment,irrelevant,A,0.18833292,0.3333333333333333
q_01214,Feedback,relevant,A,0.3090645,1.0
q_01247,Acknowledgment,irrelevant,A,0.34578538,0.8666666666666667
q_00532,Medical,relevant,A,0.059969485,0.8666666666666667
q_00568,Medical,relevant,A,0.03216082,0.7333333333333333
q_01067,Other,relevant,A,0.13183445,0.4
q_01290,Acknowledgment,irrelevant,A,0.2984169,1.0
q_00114,Other,relevant,A,0.07261467,0.4666666666666667
q_00105,Other,relevant,A,0.2531197,0.8
q_00675,Medical,relevant,A,0.416205,0.9333333333333333
q_00634,Medical,relevant,A,0.20248163,0.8
q_00572,Medical,relevant,A,0.030436695,0.7333333333333333
q_01788,Delivery confirmation,relevant,A,0.21402943,0.6666666666666666
q_00159,Acknowledgment,irrelevant,A,0.14934623,0.7333333333333333
q_01486,Feedback,relevant,A,0.24555528,0.7333333333333333
q_01748,Delivery confirmation,relevant,A,0.1982646,0.8
q_01527,Delivery confirmation,relevant,A,0.23556834,0.8
q_01544,OSS,irrelevant,A,0.35558033,0.6666666666666666
q_00452,Medical,relevant,A,0.13192987,0.7333333333333333
q_01550,Other,relevant,A,0.2319715,0.6666666666666666
q_01662,OSS,irrelevant,A,0.58372366,0.3333333333333333
q_01410,Acknowledgment,irrelevant,A,0.225474,0.5333333333333333
q_01350,Feedback,relevant,A,0.19431734,0.7333333333333333
q_01176,Acknowledgment,irrelevant,A,0.30851728,0.2
q_01558,OSS,irrelevant,A,0.2915764,0.4
q_01682,Language change,relevant,A,0.26677108,1.0
q_01733,Delivery confirmation,relevant,A,0.110078394,1.0
q_00127,Acknowledgment,irrelevant,A,0.07192111,0.9333333333333333
q_00134,Acknowledgment,irrelevant,A,0.095369935,0.9333333333333333
q_01690,Language change,relevant,A,0.30308086,1.0
q_00371,Medical,relevant,A,0.28829563,0.7333333333333333
q_01084,Other,relevant,A,0.40156722,0.3333333333333333
q_01259,Acknowledgment,irrelevant,A,0.104239464,1.0
q_00835,Medical,relevant,A,0.47511423,1.0
q_01359,Acknowledgment,irrelevant,A,0.03621757,0.9333333333333333
q_01251,Acknowledgment,irrelevant,A,0.14028692,0.9333333333333333
q_00244,Language change,relevant,A,0.07881212,0.9333333333333333
q_00578,Medical,relevant,A,0.43130893,0.9333333333333333
q_00003,Greeting,irrelevant,A,0.03567499,0.9333333333333333
q_01238,Acknowledgment,irrelevant,A,0.04184079,1.0
q_01602,Other,relevant,A,0.36556566,0.4666666666666667
q_00956,Medical,relevant,A,0.14831829,0.4666666666666667
q_01490,Acknowledgment,irrelevant,A,0.16193163,1.0
q_00095,Acknowledgment,irrelevant,A,0.037544727,0.7333333333333333
q_00812,Medical,relevant,A,0.47654688,0.8666666666666667
q_01727,Delivery confirmation,relevant,A,0.28552616,1.0
q_00298,Language change,relevant,A,0.21157181,1.0
q_00057,Greeting,irrelevant,A,0.25932837,0.9333333333333333
q_00539,Medical,relevant,A,0.44903964,0.9333333333333333
q_01623,OSS,irrelevant,A,0.28917181,1.0
q_01279,Acknowledgment,irrelevant,A,0.34833074,0.9333333333333333
q_00449,Medical,relevant,A,0.2016679,1.0
q_01458,Acknowledgment,irrelevant,A,0.1316222,0.4
q_00744,Medical,relevant,A,0.33565074,1.0
q_00725,Medical,relevant,A,0.47311455,1.0
q_00789,Medical,relevant,A,0.37831038,1.0
q_01694,Language change,relevant,A,0.09359717,0.9333333333333333
q_00052,Greeting,irrelevant,A,0.11093837,0.6
q_01366,Acknowledgment,irrelevant,A,0.024201334,0.6
q_00223,Spam,irrelevant,A,0.4261521,0.7333333333333333
q_00240,Language change,relevant,A,0.06658065,1.0
q_00991,Automated message,irrelevant,A,0.2987771,1.0
q_01462,Feedback,relevant,A,0.34578538,0.5333333333333333
q_00684,Medical,relevant,A,0.27505118,0.8666666666666667
q_00977,Automated message,irrelevant,A,0.32417738,1.0
q_00791,Medical,relevant,A,0.35806865,1.0
q_00269,Language change,relevant,A,0.08766985,1.0
q_01056,Other,relevant,A,0.1597786,0.26666666666666666
q_00433,Medical,relevant,A,0.25895047,1.0
q_00101,Other,relevant,A,0.05073905,0.4
q_00923,Medical,relevant,A,0.07203412,0.9333333333333333
q_01093,Other,relevant,A,0.020950615,0.4666666666666667
q_01178,Acknowledgment,irrelevant,A,0.104239464,1.0
q_00156,Acknowledgment,irrelevant,A,0.20314908,0.8666666666666667
q_01721,Delivery confirmation,relevant,A,0.13332164,0.8
q_01211,Acknowledgment,irrelevant,A,0.053774178,0.8
q_01415,Feedback,relevant,A,0.010939479,0.6
q_01799,Date,relevant,A,0.17661417,0.8
q_01237,Acknowledgment,irrelevant,A,0.052545667,1.0
q_01036,Date,relevant,A,0.1860205,0.8666666666666667
q_00511,Medical,relevant,A,0.31158996,0.9333333333333333
q_00295,Language change,relevant,A,0.1669007,1.0
q_00716,Medical,relevant,A,0.31327564,0.9333333333333333
q_01343,Acknowledgment,irrelevant,A,0.018811464,1.0
q_00296,Language change,relevant,A,0.23277068,1.0
q_01033,Date,relevant,A,0.10603559,1.0
q_01022,Date,relevant,A,0.1687274,1.0
q_01004,Automated message,irrelevant,A,0.16032052,0.9333333333333333
q_00608,Medical,relevant,A,0.22582835,0.8666666666666667
q_00644,Medical,relevant,A,0.3425008,0.7333333333333333
q_00429,Medical,relevant,A,0.24806601,0.7333333333333333
q_00261,Language change,relevant,A,0.10094309,0.9333333333333333
q_00579,Medical,relevant,A,0.08229649,0.8666666666666667
q_00322,Language change,relevant,A,0.034218967,0.6
q_00631,Medical,relevant,A,0.19532484,1.0
q_00502,Medical,relevant,A,0.18242705,0.8666666666666667
q_00305,Language change,relevant,A,0.15877211,1.0
q_00378,Medical,relevant,A,0.27029973,1.0
q_01669,Language change,relevant,A,0.13353992,1.0
q_00861,Medical,relevant,A,0.26966298,0.9333333333333333
q_00908,Medical,relevant,A,0.31996572,0.9333333333333333
q_00084,Greeting,irrelevant,A,0.097853065,0.9333333333333333
q_00611,Medical,relevant,A,0.21949065,1.0
q_00287,Language change,relevant,A,0.19320357,1.0
q_01561,OSS,irrelevant,A,0.04316616,1.0
q_00448,Medical,relevant,A,0.11513162,1.0
q_01646,Other,relevant,A,0.23899192,0.4666666666666667
q_00200,Acknowledgment,irrelevant,A,0.27696937,0.6666666666666666
q_01591,OSS,irrelevant,A,0.6209086,0.06666666666666667
q_01014,Date,relevant,A,0.37235284,1.0
q_01015,Date,relevant,A,0.10130501,0.9333333333333333
q_01750,Delivery confirmation,relevant,A,0.24147367,1.0
q_00852,Medical,relevant,A,0.110194445,0.8666666666666667
q_00290,Language change,relevant,A,0.02112341,1.0
q_01215,Acknowledgment,irrelevant,A,0.3315059,1.0
q_00985,Automated message,irrelevant,A,0.36035365,0.9333333333333333
q_01794,Date,relevant,A,0.1982646,0.6666666666666666
q_00217,Spam,irrelevant,A,0.4261521,0.4
q_00944,Medical,relevant,A,0.2905379,1.0
q_00489,Medical,relevant,A,0.28278708,1.0
q_00922,Medical,relevant,A,0.34213102,1.0
q_01466,Medical,relevant,A,0.26491457,0.7333333333333333
q_01121,Acknowledgment,irrelevant,A,0.29270202,0.9333333333333333
q_01683,Language change,relevant,A,0.025595427,0.9333333333333333
q_00242,Language change,relevant,A,0.051115394,0.6666666666666666
q_01746,Delivery confirmation,relevant,A,0.14975214,0.8
q_00778,Medical,relevant,A,0.42910552,1.0
q_00561,Medical,relevant,A,0.08867723,1.0
q_01009,Date,relevant,A,0.2264778,1.0
q_01181,Acknowledgment,irrelevant,A,0.25917315,0.8666666666666667
q_01424,Acknowledgment,irrelevant,A,0.18567151,0.26666666666666666
q_01367,Acknowledgment,irrelevant,A,0.24671221,0.5333333333333333
q_01287,Feedback,relevant,A,0.34833074,0.2
q_01508,Acknowledgment,irrelevant,A,0.2232002,0.8666666666666667
q_00122,Acknowledgment,irrelevant,A,0.091845036,0.9333333333333333
q_01438,Acknowledgment,irrelevant,A,0.15846694,0.3333333333333333
q_01434,Acknowledgment,irrelevant,A,0.1316222,0.5333333333333333
q_01557,OSS,irrelevant,A,0.37873423,0.26666666666666666
q_00490,Medical,relevant,A,0.2811349,1.0
q_00797,Medical,relevant,A,0.29450262,1.0
q_00077,Greeting,irrelevant,A,0.07943249,0.6666666666666666
q_00394,Medical,relevant,A,0.12538803,1.0
q_00803,Medical,relevant,A,0.41586745,1.0
q_01691,Language change,relevant,A,0.07828629,0.9333333333333333
q_00741,Medical,relevant,A,0.35200584,1.0
q_00695,Medical,relevant,A,0.11612421,0.8666666666666667
q_01573,OSS,irrelevant,A,0.18549025,0.4
q_00224,Spam,irrelevant,A,0.56069934,0.8
q_00628,Medical,relevant,A,0.2942984,0.9333333333333333
q_00373,Medical,relevant,A,0.3084507,0.8
q_01729,Delivery confirmation,relevant,A,0.15632206,1.0
q_00253,Language change,relevant,A,0.09599686,0.8666666666666667
q_00794,Medical,relevant,A,0.3756932,1.0
q_00662,Medical,relevant,A,0.33150458,1.0
q_00699,Medical,relevant,A,0.3696009,1.0
q_01020,Date,relevant,A,0.18227434,1.0
q_01341,Acknowledgment,irrelevant,A,0.018290281,0.5333333333333333
q_00140,Acknowledgment,irrelevant,A,0.15495026,0.8
q_00913,Medical,relevant,A,0.048544288,0.9333333333333333
q_01268,Acknowledgment,irrelevant,A,0.053781748,1.0
q_01088,Medical,relevant,A,0.17019749,0.9333333333333333
q_01469,Acknowledgment,irrelevant,A,0.16524881,1.0
q_01797,Date,relevant,A,0.17661417,0.8
q_01487,Acknowledgment,irrelevant,A,0.09041357,0.26666666666666666
q_00904,Medical,relevant,A,0.18910336,1.0
q_00926,Medical,relevant,A,0.120984614,0.9333333333333333
q_00780,Medical,relevant,A,0.25656456,1.0
q_01698,Language change,relevant,A,0.07881212,0.9333333333333333
q_00113,Greeting,irrelevant,A,0.05476916,0.4666666666666667
q_01347,Acknowledgment,irrelevant,A,0.06826103,0.9333333333333333
q_00872,Medical,relevant,A,0.09115863,0.9333333333333333
q_01183,Acknowledgment,irrelevant,A,0.17823815,0.9333333333333333
q_00798,Medical,relevant,A,0.29590225,1.0
q_01635,OSS,irrelevant,A,0.31053424,0.9333333333333333
q_01154,Acknowledgment,irrelevant,A,0.09195173,1.0
q_01500,Acknowledgment,irrelevant,A,0.04214841,0.9333333333333333
q_01201,Acknowledgment,irrelevant,A,0.019877672,1.0
q_00666,Medical,relevant,A,0.21226048,1.0
q_01411,Feedback,relevant,A,0.36360192,0.6666666666666666
q_00384,Medical,relevant,A,0.052072585,0.6
q_00387,Medical,relevant,A,0.26117158,0.9333333333333333
q_00406,Medical,relevant,A,0.18065822,0.9333333333333333
q_00385,Medical,relevant,A,0.36379987,0.8666666666666667
q_00347,Medical,relevant,A,0.18331528,0.8666666666666667
q_00553,Medical,relevant,A,0.0789299,0.7333333333333333
q_00571,Medical,relevant,A,0.14934623,0.4666666666666667
q_01241,Acknowledgment,irrelevant,A,0.23730147,1.0
q_01717,Delivery confirmation,relevant,A,0.24754727,1.0
q_00815,Medical,relevant,A,0.43825233,1.0
q_00141,Acknowledgment,irrelevant,A,0.073109984,0.4666666666666667
q_01210,Acknowledgment,irrelevant,A,0.24086845,0.9333333333333333
q_00660,Medical,relevant,A,0.19532484,1.0
q_00834,Medical,relevant,A,0.36679763,0.8
q_00379,Medical,relevant,A,0.3664738,1.0
q_00316,Language change,relevant,A,0.4687624,0.9333333333333333
q_00325,Language change,relevant,A,0.039416373,0.8666666666666667
q_00370,Medical,relevant,A,0.31873727,0.7333333333333333
q_00601,Medical,relevant,A,0.053477705,0.7333333333333333
q_01566,OSS,irrelevant,A,0.295408,0.8
q_01624,OSS,irrelevant,A,0.20668632,0.9333333333333333
q_00451,Medical,relevant,A,0.24790668,1.0
q_01168,Feedback,relevant,A,0.2528931,0.7333333333333333
q_00943,Medical,relevant,A,0.29290485,1.0
q_01297,Acknowledgment,irrelevant,A,0.2660699,0.8666666666666667
q_00094,Greeting,irrelevant,A,0.093961,0.8666666666666667
q_01141,Medical,relevant,A,0.24592066,0.13333333333333333
q_00171,Acknowledgment,irrelevant,A,0.33353716,0.26666666666666666
q_00509,Medical,relevant,A,0.44243932,0.6666666666666666
q_01713,Delivery confirmation,relevant,A,0.121667445,1.0
